mois;type;age;val
1;mean;0;70.9
1;sd;0;4.5
2;mean;0;70.9
2;sd;0;4.5
3;mean;0;77.70625
3;sd;0;6.99394388
4;mean;0;84.5125
4;sd;0;9.48788776
5;mean;0;91.31875
5;sd;0;11.98183164
6;mean;0;98.125
6;sd;0;14.47577552
7;mean;0;105.16875
7;sd;0;17.78183164
8;mean;0;112.2125
8;sd;0;21.08788776
9;mean;0;119.25625
9;sd;0;24.39394388
10;mean;0;126.3
10;sd;0;27.7
11;mean;0;126.3
11;sd;0;27.7
12;mean;0;126.3
12;sd;0;27.7
1;mean;1;126.3
1;sd;1;27.7
2;mean;1;126.3
2;sd;1;27.7
3;mean;1;134.19375
3;sd;1;28.98711081
4;mean;1;142.0875
4;sd;1;30.27422162
5;mean;1;149.98125
5;sd;1;31.56133244
6;mean;1;157.875
6;sd;1;32.84844325
7;mean;1;166.6076389
7;sd;1;34.13573457
8;mean;1;175.3402778
8;sd;1;35.42302589
9;mean;1;184.0729167
9;sd;1;36.71031721
10;mean;1;192.8055556
10;sd;1;37.99760853
11;mean;1;192.8055556
11;sd;1;37.99760853
12;mean;1;192.8055556
12;sd;1;37.99760853
1;mean;2;192.8055556
1;sd;2;37.99760853
2;mean;2;192.8055556
2;sd;2;37.99760853
3;mean;2;203.3843483
3;sd;2;39.82611829
4;mean;2;213.963141
4;sd;2;41.65462804
5;mean;2;224.5419338
5;sd;2;43.4831378
6;mean;2;235.1207265
6;sd;2;45.31164755
7;mean;2;245.6995192
7;sd;2;47.14015731
8;mean;2;256.278312
8;sd;2;48.96866707
9;mean;2;266.8571047
9;sd;2;50.79717682
10;mean;2;277.4358974
10;sd;2;52.62568658
11;mean;2;277.4358974
11;sd;2;52.62568658
12;mean;2;277.4358974
12;sd;2;52.62568658
1;mean;3;277.4358974
1;sd;3;52.62568658
2;mean;3;277.4358974
2;sd;3;52.62568658
3;mean;3;288.848247
3;sd;3;54.09327465
4;mean;3;300.2605965
4;sd;3;55.56086273
5;mean;3;311.6729461
5;sd;3;57.0284508
6;mean;3;323.0852957
6;sd;3;58.49603888
7;mean;3;334.4976452
7;sd;3;59.96362695
8;mean;3;345.9099948
8;sd;3;61.43121503
9;mean;3;357.3223443
9;sd;3;62.8988031
10;mean;3;368.7346939
10;sd;3;64.36639118
11;mean;3;368.7346939
11;sd;3;64.36639118
12;mean;3;368.7346939
12;sd;3;64.36639118
1;mean;4;368.7346939
1;sd;4;64.36639118
2;mean;4;368.7346939
2;sd;4;64.36639118
3;mean;4;377.0230655
3;sd;4;62.54057227
4;mean;4;385.3114371
4;sd;4;60.71475336
5;mean;4;393.5998087
5;sd;4;58.88893445
6;mean;4;401.8881803
6;sd;4;57.06311554
7;mean;4;410.1765519
7;sd;4;61.8241106
8;mean;4;418.4649235
8;sd;4;66.58510565
9;mean;4;426.7532951
9;sd;4;71.34610071
10;mean;4;435.0416667
10;sd;4;76.10709577
11;mean;4;435.0416667
11;sd;4;76.10709577
12;mean;4;435.0416667
12;sd;4;76.10709577
